UserName,ShopName,ShopCategory,Product,City,Date
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,14/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,21/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,08/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,28/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,15/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,07/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,05/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,07/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,01/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,15/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,03/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,01/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,05/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,20/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,22/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,30/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,26/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,15/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,29/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,26/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,20/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,16/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,15/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,03/03/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,11/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,25/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,22/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,19/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,27/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,21/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,24/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,20/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,28/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,07/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,18/01/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,08/02/24
Dipak,DipakWashingtonAle,North American Ale,Cardinal Pale Ale,Washington,18/01/24
